standardized_summary,semantic_cluster
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement complete,5
cardinal 100ah battery replacement is complete,5
cardinal 110ah battery replacement complete,5
date battery replacement complete,5
date battery replacement complete,5
cardinal 62 amp batteries replacement and battery calibration,5
date battery replacement complete,5
date battery replacement please reference photos attached,5
date battery replacement cardinal cable looms replacement complete,5
